First_Name,Infix,Last_Name,Profile_BirthYear,Profile_Gender,Profile_Country,Profile_Language,User_Name,User_Email,User_Role,User_Password,School_Name,School_Code,Group_Grade,Group_Name
Marty,,Leerkracht,1988,f,Netherlands,nld,,marty@trial,TEACHER,1234,Trial School,trial,3,3
Marty,,Leerkracht,1988,f,Netherlands,nld,,marty@trial,TEACHER,1234,Trial School,trial,4,4
Marty,,Leerkracht,1988,f,Netherlands,nld,,marty@trial,TEACHER,1234,Trial School,trial,5,5
Marty,,Leerkracht,1988,f,Netherlands,nld,,marty@trial,TEACHER,1234,Trial School,trial,3nfb,3-nfb
Marty,,Leerkracht,1988,f,Netherlands,nld,,marty@trial,TEACHER,1234,Trial School,trial,4nfb,4-nfb
Marty,,Leerkracht,1988,f,Netherlands,nld,,marty@trial,TEACHER,1234,Trial School,trial,5nfb,5-nfb
Adult,,Gebruiker,1988,f,Netherlands,nld,adult1,,STUDENT,1234,Trial School,trial,3,3
Adult,,Gebruiker,1988,f,Netherlands,nld,adult2,,STUDENT,1234,Trial School,trial,3,3
Adult,,Gebruiker,1988,f,Netherlands,nld,adult3,,STUDENT,1234,Trial School,trial,3,3
Adult,,Gebruiker,1988,f,Netherlands,nld,adult4,,STUDENT,1234,Trial School,trial,3,3
Adult,,Gebruiker,1988,f,Netherlands,nld,adult5,,STUDENT,1234,Trial School,trial,3,3
Adult,,Gebruiker,1988,f,Netherlands,nld,adult1,,STUDENT,1234,Trial School,trial,4,4
Adult,,Gebruiker,1988,f,Netherlands,nld,adult2,,STUDENT,1234,Trial School,trial,4,4
Adult,,Gebruiker,1988,f,Netherlands,nld,adult3,,STUDENT,1234,Trial School,trial,4,4
Adult,,Gebruiker,1988,f,Netherlands,nld,adult4,,STUDENT,1234,Trial School,trial,4,4
Adult,,Gebruiker,1988,f,Netherlands,nld,adult5,,STUDENT,1234,Trial School,trial,4,4
Adult,,Gebruiker,1988,f,Netherlands,nld,adult1,,STUDENT,1234,Trial School,trial,5,5
Adult,,Gebruiker,1988,f,Netherlands,nld,adult2,,STUDENT,1234,Trial School,trial,5,5
Adult,,Gebruiker,1988,f,Netherlands,nld,adult3,,STUDENT,1234,Trial School,trial,5,5
Adult,,Gebruiker,1988,f,Netherlands,nld,adult4,,STUDENT,1234,Trial School,trial,5,5
Adult,,Gebruiker,1988,f,Netherlands,nld,adult5,,STUDENT,1234,Trial School,trial,5,5
Adult,,Gebruiker,1988,f,Netherlands,nld,adult1,,STUDENT,1234,Trial School,trial,3nfb,3-nfb
Adult,,Gebruiker,1988,f,Netherlands,nld,adult2,,STUDENT,1234,Trial School,trial,3nfb,3-nfb
Adult,,Gebruiker,1988,f,Netherlands,nld,adult3,,STUDENT,1234,Trial School,trial,3nfb,3-nfb
Adult,,Gebruiker,1988,f,Netherlands,nld,adult4,,STUDENT,1234,Trial School,trial,3nfb,3-nfb
Adult,,Gebruiker,1988,f,Netherlands,nld,adult5,,STUDENT,1234,Trial School,trial,3nfb,3-nfb
Adult,,Gebruiker,1988,f,Netherlands,nld,adult1,,STUDENT,1234,Trial School,trial,4nfb,4-nfb
